timestamp,weekday,month,day,hour,minute,second,year
2025-01-27 23:26:48.360649,Monday,1,27,23,26,48,2025
2025-01-27 23:26:50.361476,Monday,1,27,23,26,50,2025
2025-01-27 23:26:52.367667,Monday,1,27,23,26,52,2025
2025-01-27 23:26:54.368508,Monday,1,27,23,26,54,2025
2025-01-27 23:26:56.369364,Monday,1,27,23,26,56,2025
2025-01-27 23:26:58.370406,Monday,1,27,23,26,58,2025
2025-01-27 23:27:00.371422,Monday,1,27,23,27,0,2025
2025-01-27 23:27:02.373596,Monday,1,27,23,27,2,2025
2025-01-27 23:27:04.374230,Monday,1,27,23,27,4,2025
2025-01-27 23:27:06.374894,Monday,1,27,23,27,6,2025
2025-01-27 23:27:08.375904,Monday,1,27,23,27,8,2025
2025-01-27 23:27:10.376996,Monday,1,27,23,27,10,2025
2025-01-27 23:27:12.377541,Monday,1,27,23,27,12,2025
2025-01-27 23:27:14.379578,Monday,1,27,23,27,14,2025
2025-01-27 23:27:16.380366,Monday,1,27,23,27,16,2025
2025-01-27 23:27:18.382605,Monday,1,27,23,27,18,2025
2025-01-27 23:27:20.383456,Monday,1,27,23,27,20,2025
2025-01-27 23:27:22.385337,Monday,1,27,23,27,22,2025
2025-01-27 23:27:24.386246,Monday,1,27,23,27,24,2025
2025-01-27 23:27:26.387917,Monday,1,27,23,27,26,2025
2025-01-27 23:27:28.389048,Monday,1,27,23,27,28,2025
2025-01-27 23:27:30.390499,Monday,1,27,23,27,30,2025
2025-01-27 23:27:32.391852,Monday,1,27,23,27,32,2025
2025-01-27 23:27:34.392732,Monday,1,27,23,27,34,2025
2025-01-27 23:27:36.393583,Monday,1,27,23,27,36,2025
2025-01-27 23:27:38.394250,Monday,1,27,23,27,38,2025
2025-01-27 23:27:40.396018,Monday,1,27,23,27,40,2025
2025-01-27 23:27:42.397353,Monday,1,27,23,27,42,2025
2025-01-27 23:27:44.398685,Monday,1,27,23,27,44,2025
2025-01-27 23:27:46.399956,Monday,1,27,23,27,46,2025
2025-01-27 23:27:48.401241,Monday,1,27,23,27,48,2025
2025-01-27 23:27:50.402838,Monday,1,27,23,27,50,2025
2025-01-27 23:27:52.403693,Monday,1,27,23,27,52,2025
2025-01-27 23:27:54.405215,Monday,1,27,23,27,54,2025
2025-01-27 23:27:56.406478,Monday,1,27,23,27,56,2025
2025-01-27 23:27:58.408493,Monday,1,27,23,27,58,2025
2025-01-27 23:28:00.409954,Monday,1,27,23,28,0,2025
2025-01-27 23:28:02.410812,Monday,1,27,23,28,2,2025
2025-01-27 23:28:04.412505,Monday,1,27,23,28,4,2025
2025-01-27 23:28:06.413421,Monday,1,27,23,28,6,2025
2025-01-27 23:28:08.415177,Monday,1,27,23,28,8,2025
2025-01-27 23:28:10.416093,Monday,1,27,23,28,10,2025
2025-01-27 23:28:12.417607,Monday,1,27,23,28,12,2025
2025-01-27 23:28:14.419301,Monday,1,27,23,28,14,2025
2025-01-27 23:28:16.420720,Monday,1,27,23,28,16,2025
